Source;Distance;Number of Changes;LengthSequenceA;LengthSequenceB;LengthBacktrace
original;2,3333333333;3;277;278;279
randomized;74,8;114;277;278;125
randomized;74,0;116;277;278;124
randomized;75,4;114;277;278;125
randomized;70,8;113;277;278;124
randomized;71,2;107;277;278;124
randomized;74,0;111;277;278;124
randomized;72,6;116;277;278;124
randomized;72,8;109;277;278;125
randomized;71,8;112;277;278;124
randomized;73,8;116;277;278;124
randomized;75,4;117;277;278;124
randomized;74,6;117;277;278;124
randomized;73,4;112;277;278;124
randomized;74,2;112;277;278;125
randomized;73,4;113;277;278;124
randomized;70,8;116;277;278;123
randomized;70,6;110;277;278;123
randomized;73,4;114;277;278;125
randomized;68,0;111;277;278;123
randomized;75,8;116;277;278;124
randomized;74,4;115;277;278;125
randomized;74,4;109;277;278;126
randomized;73,0;111;277;278;124
randomized;75,2;115;277;278;125
randomized;72,8;113;277;278;124
randomized;67,6;110;277;278;123
randomized;72,2;112;277;278;125
randomized;75,0;115;277;278;125
randomized;73,0;113;277;278;125
randomized;65,6;106;277;278;123
randomized;72,2;114;277;278;124
randomized;73,8;110;277;278;125
randomized;71,6;110;277;278;124
randomized;72,0;109;277;278;124
randomized;74,4;113;277;278;124
randomized;75,4;117;277;278;125
randomized;74,0;110;277;278;124
randomized;74,4;114;277;278;125
randomized;72,6;116;277;278;124
randomized;74,2;113;277;278;125
randomized;75,4;115;277;278;124
randomized;68,8;115;277;278;123
randomized;75,6;116;277;278;124
randomized;71,8;110;277;278;125
randomized;73,6;112;277;278;125
randomized;72,0;111;277;278;125
randomized;71,0;110;277;278;124
randomized;76,2;116;277;278;124
randomized;74,2;114;277;278;124
randomized;72,0;113;277;278;124
randomized;74,8;112;277;278;125
randomized;72,4;115;277;278;123
randomized;73,0;113;277;278;125
randomized;70,6;115;277;278;123
randomized;75,2;117;277;278;125
randomized;67,0;108;277;278;124
randomized;76,4;115;277;278;125
randomized;71,4;113;277;278;124
randomized;70,2;103;277;278;125
randomized;74,0;112;277;278;124
randomized;74,2;113;277;278;124
randomized;68,0;110;277;278;123
randomized;69,6;110;277;278;124
randomized;72,4;113;277;278;125
randomized;72,4;113;277;278;123
randomized;74,0;113;277;278;125
randomized;71,4;109;277;278;124
randomized;73,4;114;277;278;124
randomized;74,0;110;277;278;125
randomized;76,8;119;277;278;124
randomized;71,8;113;277;278;125
randomized;76,4;118;277;278;124
randomized;75,0;111;277;278;124
randomized;74,2;117;277;278;124
randomized;71,0;114;277;278;124
randomized;74,4;110;277;278;125
randomized;73,2;110;277;278;124
randomized;76,0;114;277;278;125
randomized;69,8;106;277;278;124
randomized;69,0;107;277;278;124
randomized;75,8;114;277;278;125
randomized;72,2;114;277;278;124
randomized;71,6;111;277;278;124
randomized;73,6;111;277;278;124
randomized;66,6;111;277;278;123
randomized;72,4;112;277;278;124
randomized;74,8;114;277;278;125
randomized;76,2;115;277;278;125
randomized;74,6;109;277;278;126
randomized;74,0;114;277;278;124
randomized;70,2;110;277;278;123
randomized;71,2;114;277;278;124
randomized;75,8;114;277;278;125
randomized;70,2;109;277;278;124
randomized;70,4;116;277;278;124
randomized;75,4;116;277;278;124
randomized;72,8;112;277;278;124
randomized;69,6;110;277;278;124
randomized;69,0;110;277;278;124
randomized;74,6;112;277;278;124
randomized;73,2;114;277;278;124
randomized;74,2;113;277;278;124
randomized;71,4;112;277;278;124
randomized;74,6;113;277;278;124
randomized;73,8;114;277;278;124
randomized;74,6;115;277;278;125
randomized;72,0;117;277;278;124
randomized;73,4;107;277;278;126
randomized;69,8;113;277;278;123
randomized;74,8;116;277;278;125
randomized;68,0;109;277;278;123
randomized;68,8;111;277;278;125
randomized;75,0;115;277;278;125
randomized;68,8;110;277;278;124
randomized;74,0;110;277;278;125
randomized;74,8;113;277;278;124
randomized;73,8;117;277;278;124
randomized;70,4;110;277;278;124
randomized;71,8;113;277;278;125
randomized;67,4;111;277;278;123
randomized;73,6;111;277;278;125
randomized;75,0;116;277;278;124
randomized;73,0;112;277;278;125
randomized;72,2;113;277;278;124
randomized;74,4;114;277;278;124
randomized;71,2;111;277;278;124
randomized;70,8;111;277;278;124
randomized;72,6;117;277;278;124
randomized;67,2;113;277;278;123
randomized;76,0;112;277;278;124
randomized;71,4;110;277;278;125
randomized;71,2;113;277;278;124
randomized;75,6;117;277;278;124
randomized;73,4;110;277;278;125
randomized;67,8;110;277;278;124
randomized;76,2;113;277;278;125
randomized;75,6;116;277;278;124
randomized;72,8;116;277;278;124
randomized;72,4;111;277;278;125
randomized;72,8;111;277;278;124
randomized;73,8;114;277;278;124
randomized;70,4;108;277;278;124
randomized;73,4;114;277;278;124
randomized;68,4;108;277;278;124
randomized;72,8;116;277;278;124
randomized;74,4;116;277;278;125
randomized;72,8;109;277;278;125
randomized;70,8;114;277;278;124
randomized;71,6;115;277;278;123
randomized;71,2;116;277;278;123
randomized;72,2;111;277;278;125
randomized;72,4;107;277;278;125
randomized;74,2;111;277;278;125
randomized;66,4;103;277;278;124
randomized;71,6;112;277;278;124
randomized;65,4;107;277;278;123
randomized;72,0;114;277;278;124
randomized;74,0;112;277;278;125
randomized;74,0;114;277;278;124
randomized;72,4;115;277;278;125
randomized;72,6;114;277;278;124
randomized;74,4;113;277;278;124
randomized;71,6;113;277;278;123
randomized;71,0;110;277;278;124
randomized;70,8;112;277;278;125
randomized;69,4;111;277;278;124
randomized;66,4;112;277;278;123
randomized;73,2;113;277;278;124
randomized;70,2;112;277;278;124
randomized;72,8;113;277;278;124
randomized;75,2;116;277;278;124
randomized;73,4;115;277;278;124
randomized;71,4;114;277;278;124
randomized;74,8;114;277;278;125
randomized;68,0;113;277;278;123
randomized;75,8;119;277;278;124
randomized;70,6;110;277;278;124
randomized;75,0;114;277;278;124
randomized;71,8;112;277;278;125
randomized;71,8;110;277;278;124
randomized;74,2;114;277;278;124
randomized;75,0;117;277;278;125
randomized;71,4;112;277;278;123
randomized;69,4;110;277;278;124
randomized;68,2;110;277;278;123
randomized;67,8;111;277;278;124
randomized;75,4;115;277;278;125
randomized;71,2;114;277;278;124
randomized;69,6;110;277;278;124
randomized;74,8;111;277;278;125
randomized;75,6;113;277;278;125
randomized;76,2;114;277;278;125
randomized;75,0;117;277;278;124
randomized;73,2;115;277;278;125
randomized;72,8;115;277;278;124
randomized;76,2;118;277;278;124
randomized;75,2;115;277;278;124
randomized;74,6;117;277;278;124
randomized;73,8;111;277;278;125
randomized;71,4;112;277;278;124
randomized;76,2;110;277;278;126
randomized;75,0;116;277;278;124
randomized;70,2;113;277;278;124
randomized;74,6;114;277;278;124
randomized;73,4;112;277;278;124
randomized;70,6;107;277;278;125
randomized;73,8;112;277;278;125
randomized;74,6;117;277;278;124
randomized;72,8;110;277;278;124
randomized;74,2;113;277;278;125
randomized;67,0;108;277;278;123
randomized;72,4;113;277;278;124
randomized;71,0;111;277;278;124
randomized;73,8;116;277;278;124
randomized;72,2;112;277;278;124
randomized;74,6;116;277;278;125
randomized;73,8;112;277;278;124
randomized;72,4;111;277;278;124
randomized;70,0;112;277;278;124
randomized;72,8;111;277;278;125
randomized;73,0;117;277;278;125
randomized;66,6;106;277;278;123
randomized;73,8;114;277;278;124
randomized;70,6;110;277;278;124
randomized;70,8;106;277;278;124
randomized;71,6;112;277;278;124
randomized;74,0;112;277;278;125
randomized;69,4;111;277;278;124
randomized;71,4;111;277;278;124
randomized;70,2;111;277;278;123
randomized;75,0;118;277;278;124
randomized;74,0;113;277;278;124
randomized;74,6;117;277;278;124
randomized;74,0;114;277;278;125
randomized;69,2;114;277;278;123
randomized;74,0;112;277;278;125
randomized;74,4;113;277;278;125
randomized;70,2;116;277;278;123
randomized;74,6;112;277;278;124
randomized;72,0;113;277;278;124
randomized;74,2;116;277;278;124
randomized;68,6;111;277;278;123
randomized;68,4;113;277;278;124
randomized;76,0;118;277;278;125
randomized;70,4;110;277;278;123
randomized;69,6;113;277;278;123
randomized;73,4;113;277;278;124
randomized;75,4;111;277;278;126
randomized;73,6;116;277;278;124
randomized;75,0;115;277;278;124
randomized;74,8;112;277;278;125
randomized;67,6;110;277;278;123
randomized;75,0;115;277;278;124
randomized;75,2;119;277;278;124
randomized;72,6;116;277;278;124
randomized;73,8;117;277;278;124
randomized;75,6;115;277;278;124
randomized;71,6;114;277;278;123
randomized;73,0;114;277;278;125
randomized;75,6;114;277;278;125
randomized;75,6;115;277;278;124
randomized;74,6;115;277;278;125
randomized;67,8;113;277;278;123
randomized;75,0;114;277;278;126
randomized;71,0;108;277;278;125
randomized;75,2;115;277;278;124
randomized;74,8;119;277;278;124
randomized;74,4;112;277;278;125
randomized;73,2;115;277;278;125
randomized;71,6;111;277;278;125
randomized;72,0;110;277;278;124
randomized;71,4;117;277;278;123
randomized;72,4;115;277;278;124
randomized;67,0;111;277;278;123
randomized;73,4;109;277;278;126
randomized;67,6;109;277;278;124
randomized;75,8;117;277;278;124
randomized;71,0;109;277;278;124
randomized;67,2;112;277;278;124
randomized;75,4;112;277;278;126
randomized;70,8;114;277;278;124
randomized;73,2;112;277;278;125
randomized;74,2;114;277;278;124
randomized;75,4;114;277;278;124
randomized;70,0;114;277;278;123
randomized;73,6;115;277;278;125
randomized;75,8;115;277;278;124
randomized;71,4;113;277;278;124
randomized;70,0;112;277;278;124
randomized;73,6;113;277;278;125
randomized;75,2;111;277;278;127
randomized;73,4;112;277;278;124
randomized;72,4;112;277;278;124
randomized;69,2;113;277;278;124
randomized;68,6;110;277;278;123
randomized;72,2;112;277;278;124
randomized;74,2;112;277;278;124
randomized;69,8;111;277;278;123
randomized;71,6;110;277;278;124
randomized;72,4;114;277;278;125
randomized;76,4;115;277;278;124
randomized;74,2;118;277;278;125
randomized;74,6;115;277;278;125
randomized;72,2;110;277;278;124
randomized;76,6;115;277;278;124
randomized;72,0;111;277;278;124
randomized;70,4;110;277;278;124
randomized;72,0;112;277;278;124
randomized;71,2;113;277;278;124
randomized;72,4;113;277;278;125
randomized;74,6;113;277;278;124
randomized;73,4;112;277;278;125
randomized;76,4;115;277;278;125
randomized;73,4;115;277;278;124
randomized;71,2;113;277;278;124
randomized;71,8;112;277;278;124
randomized;75,0;113;277;278;126
randomized;72,4;110;277;278;125
randomized;70,8;117;277;278;123
randomized;74,0;114;277;278;124
randomized;71,2;109;277;278;124
randomized;73,6;112;277;278;124
randomized;70,2;110;277;278;124
randomized;71,8;117;277;278;123
randomized;73,2;110;277;278;125
randomized;70,6;114;277;278;124
randomized;72,0;106;277;278;124
randomized;68,0;108;277;278;123
randomized;72,0;115;277;278;124
randomized;71,8;110;277;278;125
randomized;75,2;115;277;278;125
randomized;73,2;110;277;278;124
randomized;70,4;113;277;278;123
randomized;70,4;113;277;278;123
randomized;73,4;114;277;278;125
randomized;72,4;111;277;278;124
randomized;71,0;111;277;278;124
randomized;74,2;116;277;278;124
randomized;72,4;111;277;278;125
randomized;72,4;112;277;278;123
randomized;77,0;117;277;278;124
randomized;70,4;112;277;278;124
randomized;74,8;116;277;278;124
randomized;72,0;113;277;278;124
randomized;70,6;112;277;278;124
randomized;74,2;111;277;278;124
randomized;72,4;113;277;278;125
randomized;75,6;118;277;278;124
randomized;71,8;114;277;278;124
randomized;75,8;116;277;278;125
randomized;68,4;109;277;278;124
randomized;70,0;109;277;278;124
randomized;72,4;113;277;278;124
randomized;72,8;112;277;278;124
randomized;73,8;112;277;278;125
randomized;74,4;117;277;278;124
randomized;73,2;110;277;278;125
randomized;65,6;108;277;278;122
randomized;73,0;112;277;278;124
randomized;71,2;111;277;278;123
randomized;65,0;107;277;278;122
randomized;76,6;112;277;278;125
randomized;71,0;115;277;278;124
randomized;73,6;118;277;278;124
randomized;76,0;115;277;278;125
randomized;73,6;113;277;278;124
randomized;71,8;109;277;278;125
randomized;73,0;116;277;278;124
randomized;74,2;116;277;278;124
randomized;69,2;113;277;278;124
randomized;74,4;114;277;278;125
randomized;74,6;112;277;278;125
randomized;75,6;116;277;278;124
randomized;69,4;105;277;278;124
randomized;75,0;110;277;278;125
randomized;72,4;109;277;278;125
randomized;73,4;112;277;278;124
randomized;73,2;113;277;278;124
randomized;76,0;117;277;278;125
randomized;75,2;116;277;278;124
randomized;72,0;112;277;278;124
randomized;74,2;115;277;278;124
randomized;74,8;116;277;278;124
randomized;74,2;115;277;278;125
randomized;70,6;110;277;278;124
randomized;72,2;112;277;278;124
randomized;74,4;112;277;278;125
randomized;74,0;111;277;278;125
randomized;72,6;110;277;278;125
randomized;71,4;109;277;278;125
randomized;72,6;110;277;278;124
randomized;71,0;105;277;278;125
randomized;73,2;112;277;278;125
randomized;70,4;110;277;278;124
randomized;69,0;110;277;278;123
randomized;69,4;105;277;278;124
randomized;74,4;115;277;278;125
randomized;73,4;108;277;278;125
randomized;71,4;114;277;278;124
randomized;73,8;111;277;278;124
randomized;77,2;115;277;278;124
randomized;74,2;113;277;278;124
randomized;72,2;111;277;278;125
randomized;71,4;115;277;278;124
randomized;75,2;116;277;278;124
randomized;71,0;115;277;278;123
randomized;73,8;109;277;278;125
randomized;73,6;116;277;278;125
randomized;73,2;113;277;278;124
randomized;70,2;113;277;278;124
randomized;71,2;115;277;278;124
randomized;74,4;114;277;278;125
randomized;71,0;112;277;278;124
randomized;75,4;114;277;278;125
randomized;74,4;113;277;278;124
randomized;70,0;113;277;278;123
randomized;71,6;110;277;278;124
randomized;70,6;106;277;278;126
randomized;73,0;117;277;278;124
randomized;70,8;115;277;278;123
randomized;73,6;114;277;278;124
randomized;72,4;115;277;278;125
randomized;71,4;109;277;278;124
randomized;74,6;117;277;278;124
randomized;75,6;116;277;278;125
